Project name,Country,Partners,Project type,Announcement,Operation,Project Status,Announced capacity (Mt CO2/yr),Estimated capacity by IEA (Mt CO2/yr),Sector,Fate of carbon,Part of CCUS hub,Region
CarbonFrontier (CA),United States,Aera Energy LLC ,Full Chain,2023,,Planned,1.6,1.6,Other fuel transformation,Dedicated storage,,North America
CarbonNet,Australia,"Victorian Government/Australian Government, (DNV)",T&S,2010,2030,Planned,6,6,T&S,Dedicated storage,CarbonNET,East Asia & Pacific
CarbonSAFE Eos (CO),United States,"Colorado School of Mines, Carbon America and Los Alamos National Laboratory",Storage,2023,,Planned,,,Storage,Dedicated storage,CarbonSAFE Eos (CO),North America
CarbonSAFE Illinois Storage Corridor (IL),United States,"University of Illinois, Illinois State Geological Survey, Carbon Solutions",Storage,2019,2025,Planned,,2,Storage,Dedicated storage,CarbonSAFE Illinois Storage Corridor (IL),North America
Cauldron cement plant,United Kingdom,"Aggregate Industries UK, Petrofac (feasibility)",Capture,2024,2030,Planned,,0.54,Cement,Dedicated storage,Peak cluster transport/Morecambe Net Zero Cluster,Europe & Central Asia
"CCS Baltic Consortium, Klapeida terminal",Latvia,Kalipedos Nafta AB,Transport,2022,2031,Planned,4,4,Transport,Dedicated storage,"CCS Baltic Constium, Klapeida terminal",Europe & Central Asia
CCS Sakakemang,Indonesia,"Repsol, Petronas, MOECO",Full chain,2021,2028,Planned,0.5,0.5,Natural gas processing/LNG,Dedicated storage,,East Asia & Pacific
CCUS at Red Hills natural gas processing complex (NM) EOR Phase 2,United States,Targa Resources Group,Full chain,2022,2024,Under construction,0.36,0.36,Natural gas processing/LNG,EOR,,North America
CCUS at Red Hills natural gas processing complex (NM) EOR Phase 3,United States,Targa Resources Group,Full chain,2022,2024,Planned,0.26,0.26,Natural gas processing/LNG,EOR,,North America
"CCUS hub at Strathcona Resources Cold Lake Lindbergh, Orion, and Tucker SAGD facilities (x 3 projects) (ALB)",Canada,Strathcona Resources Ltd.,Capture,2022,,Planned,,,Other fuel transformation,Dedicated storage,,North America
CEIC-CNPC CCUS-EOR demonstration (Ningxia) Phase 1,China,"CEIC, CNPC",Full chain,2023,2024,Under construction,0.4,0.4,Other fuel transformation,EOR,,East Asia & Pacific
CEIC-CNPC CCUS-EOR demonstration (Ningxia) Phase 2,China,"CEIC, CNPC",Full chain,2023,2025,Under construction,0.5,0.5,Chemicals,EOR,,East Asia & Pacific
CEIC-CNPC CCUS-EOR demonstration (Ningxia) Phase 3,China,"CEIC, CNPC",Full chain,2023,2027,Planned,1.5,1.5,Chemicals,EOR,,East Asia & Pacific
CEIC-CNPC CCUS-EOR demonstration (Ningxia) Phase 3 (dedicated storage) ,China,"CEIC, CNPC",Full chain,2023,2027,Planned,0.5,0.5,Chemicals,Dedicated storage,,East Asia & Pacific
Celsio CCS project terminal,Norway,"Hafslund Oslo Celsio (formerly Fortum Oslo Varme), Aker solutions (FEED)",Transport,2016,2025,Planned,0.4,0.4,Transport,Dedicated storage,Northern Lights,Europe & Central Asia
Cementa Slite plant,Sweden,"Heidelberg Materials, Cementa",Capture,2021,2029,Planned,1.8,1.8,Cement,Dedicated storage,,Europe & Central Asia
CEMEX Balcones Cement plant (TX),United States,"Research Triangle Institute (RTI) International, Cemex",Capture,2020,,Planned,0.5,0.5,Cement,Unknown/unspecified,,North America
Central Alberta Hub (ALB),Canada," Wolf Midstream, Whitecap Resources Inc., the First Nation Capital Investment Partnership (FNCIP), and Heart Lake First Nation",Storage,2022,2027,Planned,,,Storage,Dedicated storage,Alberta Carbon TrunkLine (ACTL)/Central Alberta Hub (ALB),North America
Central Interior Geological CCS Assessment (BC),Canada,"Geoscience BC, Enbridge, BC government, CHFCA, City of Prince George, First nations Climate initiative, Foresight canada",Storage,2024,,Planned,,,Storage,Dedicated storage,,North America
Central Louisiana Regional Carbon Storage (CENLA) Hub (Wilcox) (LA) phase 1,United States,"CapturePoint Solutions, Energy transfer",T&S,2022,2024,Under construction,2,2,T&S,Dedicated storage,Central Louisiana Regional Carbon Storage (CENLA) Hub (LA),North America
Central Louisiana Regional Carbon Storage (CENLA) Hub (Wilcox) (LA) phase 2,United States,"CapturePoint Solutions, Energy transfer",T&S,2022,2027,Planned,3,3,T&S,Dedicated storage,Central Louisiana Regional Carbon Storage (CENLA) Hub (LA),North America
Central Louisiana Regional Carbon Storage (CENLA) Hub (Wilcox) (LA) phase 3,United States,"CapturePoint Solutions, Energy transfer",T&S,2022,2029,Planned,4.5,2,T&S,Dedicated storage,Central Louisiana Regional Carbon Storage (CENLA) Hub (LA),North America
Central Sumatera Basin CCUS hub,Indonesia,"Pertamina, Mitsui ",Storage,2022,2030,Planned,,,Storage,Dedicated storage,Central Sumatera Basin CCUS hub,East Asia & Pacific
Centrica Equinor hydrogen hub Easington collaboration,United Kingdom,"Centrica, Equinor",Full chain,2022,,Planned,,,Hydrogen or ammonia,Dedicated storage,,Europe & Central Asia
Century plant (TX),United States,"Mitchell group (formely owned by Occidental), Sandridge Energy",Full chain,2008,2010,Operational,4.66,4.32,Natural gas processing/LNG,EOR,,North America
Cerilon gas-to-liquids complex (ND),United States,Cerilon GTL,Full chain,2021,,Planned,2,2,Other fuel transformation,Dedicated storage,,North America
CF Fertilisers Billingham Ammonia CCS,United Kingdom,Encyclis (former Covanta Europe),Capture,2022,,Planned,0.38,0.38,Power and heat,Dedicated storage,Liverpool Bay CO2 storage (Hynet),Europe & Central Asia
CF Industries and Mitsui Blue ammonia complex (LA),United States,"CF Industries, Mitsui",Full chain,2022,2027,Planned,,,Hydrogen or ammonia,Unknown/unspecified,,North America
CF Industries blue ammonia Donaldsonville (LA),United States,"CF Industries, ExxonMobil (storage), EnLink Midstream (transport)",Capture,2020,2025,Under construction,2,2,Hydrogen or ammonia,Dedicated storage,ExxonMobil Ascension Parish storage (TX),North America
CF Industries blue ammonia Yazoo (LA),United States,CF Industries,Capture,2020,,Planned,0.5,0.5,Hydrogen or ammonia,Dedicated storage,,North America
Changling Gas plant /Jilin Oil Field CO2-EOR Full-scale (Jilin),China,"PetroChina, CNPC",Full chain,2006,2018,Operational,0.515,0.6,Natural gas processing/LNG,EOR,,East Asia & Pacific
Chevron Mitsui CO2 shipping SGP-AUS,Singapore,"Chevron, Mitsui",Transport,2022,,Planned,2.5,2.5,Transport,Dedicated storage,Chevron Mitsui CO2 shipping SGP-AUS,East Asia & Pacific
China Energy Guohua Jinjie Power (Shaanxi),China,China Energy,Full chain,2018,2021,Operational,0.15,0.15,Power and heat,Mixed,,East Asia & Pacific
China Energy Taizhou power (Jiangsu),China,China Energy,Full chain,2021,2023,Operational,0.5,0.5,Power and heat,Mixed,,East Asia & Pacific
CinfraCap (Carbon Infrastructure Capture) - Port of Gothenburg,Sweden,"Nordion Energi, Göteborg Energi, Renova, Gothenburg Port Authority, Preem, and St1.",Transport,2020,,Planned,1.5,1.5,Transport,Dedicated storage,CinfraCap,Europe & Central Asia
City of Estevan Power Plant,Canada,8 Rivers Capital and Net Power,Capture,2021,,Planned,,,Power and heat,Unknown/unspecified,,North America
Cliff Head CCS Project,Australia,"Pilot Energy
",T&S,2021,2026,Planned,1,1,T&S,Dedicated storage,Cliff Head CCS Project,East Asia & Pacific
Climeworks DAC at Brawley Geothermal (CA),United States,"University of Illinios, Climeworks",Full chain,2022,,Planned,0.005,0.005,DAC,Dedicated storage,,North America
Climeworks Mammoth Project,Iceland,"Climeworks, Carbfix",Full chain,2022,2024,Under construction,0.035,0.036,DAC,Dedicated storage,,Europe & Central Asia
Climeworks Norsk e fuel phase 1,Norway,"Sunfire GmbH, Climeworks AG, Paul Wurth SA (SMS group), Valinor (Norsk Vind)",CCU,2020,2025,Planned,0.039,0.039,DAC,Use,,Europe & Central Asia
Climeworks Norsk e fuel phase 2,Norway,"Sunfire GmbH, Climeworks AG, Paul Wurth SA (SMS group), Valinor (Norsk Vind)",CCU,2020,2026,Planned,0.035,0.035,DAC,Use,,Europe & Central Asia
Climeworks Norsk e fuel phase 3,Norway,"Sunfire GmbH, Climeworks AG, Paul Wurth SA (SMS group), Valinor (Norsk Vind)",CCU,2020,2029,Planned,0.184,0.184,DAC,Use,,Europe & Central Asia
Climeworks Orca,Iceland,"Climeworks, CarbFix",Full chain,2018,2021,Operational,0.004,0.004,DAC,Dedicated storage,,Europe & Central Asia
CNOOC Enping offshore CCS (Hong Kong),China,CNOOC,Full chain,2021,2023,Operational,0.3,0.3,Other fuel transformation,Dedicated storage,,East Asia & Pacific
CNPC China Northwest hub phase 1 (Xinjiang),China,"CNPC, OGCI",T&S,2019,2025,Planned,1,1,T&S,EOR,CNPC China Northwest hub (Xinjiang),East Asia & Pacific
CNPC China Northwest hub phase 2 (Xinjiang),China,"CNPC, OGCI",T&S,2019,2030,Planned,2,2,T&S,EOR,CNPC China Northwest hub (Xinjiang),East Asia & Pacific
CNPC China Northwest hub refinery hydrogen (Xinjiang) ,China,"CNPC, OGCI",Capture,2019,2025,Planned,1,1,Other fuel transformation,EOR,CNPC China Northwest hub (Xinjiang),East Asia & Pacific
CO2 capture at Coal Creek (ND),United States,"EERC, NDIC, Rainbow Energy, Mitshubishi HI, Kiewit",Capture,2021,,Planned,,,Power and heat,Dedicated storage,Coal creek capture: site characterisation and permitting (ND),North America
CO2 capture at Duke Energy's East Bend Station (KY),United States,"EPRI, MTR",Capture,2018,,Planned,,,Power and heat,EOR,,North America
CO2 TO METHANOL Finnfjord Ferrosilicon,Norway,"Statkraft, Carbon Recycling International",CCU,2017,,Planned,0.3,0.3,Iron and steel,Use,,Europe & Central Asia
"CO2 TransPorts phase 2 (cross-border pipeline, phase 1 is Portos and Antwerp?)",Netherlands,"Port of Rotterdam, port of Antwerp, North Sea Port, Fluxys, Gasunie",Transport,2022,,Planned,5,5,Transport,Dedicated storage,CO2TransPorts,Europe & Central Asia
"CO2 TransPorts phase 2 (cross-border pipeline, phase 1 is Portos and Antwerp?)",Netherlands,"Port of Rotterdam, port of Antwerp, North Sea Port, Fluxys, Gasunie",Transport,2022,,Planned,,,Transport,Dedicated storage,CO2TransPorts,Europe & Central Asia
CO2MENT LafargeHolcim Florence (CO),United States,"Electricore, Svante, Holcim Group, Oxy Low Carbon Venture (Occidental), TotalEnergies",Full chain,2020,2025,Planned,1.1,1.5,Cement,Dedicated storage,,North America
CO2NEXT terminal phase 1,Germany,"Vopak, Gasunie",Transport,,,Planned,5.4,5.4,Transport,Dedicated storage,Aramis CCS,Europe & Central Asia
CO2NEXT terminal phase 2,Germany,"Vopak, Gasunie",Transport,,,Planned,10.3,10.3,Transport,Dedicated storage,Aramis CCS,Europe & Central Asia
"CO2NNECTION Central Appalachian Basin hub (OH, PA, WV)",United States,Battelle,Transport,2023,,Planned,,,Transport,Unknown/unspecified,"CO2NNECTION Central Appalachian Basin hub/Appalachian basin storage MoU (OH, PA, WV)",North America
CO2nnectNow HES Wilhelmshaven Tank Terminal phase 1,Germany,Wintershall Dea,Transport,2022,2028,Planned,10,10,Transport,Dedicated storage,CO2nnectNow HES Wilhelmshaven Tank Terminal,Europe & Central Asia
CO2NTESSA,Croatia,"Nexe Group,  ThyssenKrupp Group, and Nasice cement",Capture,2023,2029,Planned,0.7,0.7,Cement,Dedicated storage,Geothermal CCS Croatia,Europe & Central Asia
Coal creek capture: site characterisation and permitting (ND),United States,University of North Dakota,Storage,2021,,Planned,,,Storage,Dedicated storage,Coal creek capture: site characterisation and permitting (ND),North America
Coastal Bend Carbon Management Project (TX),United States,"Port of Corpus Christi, Talos Energy, Howard Energy Partners, Texas A&M University System",Storage,2022,,Planned,1.25,1.5,Storage,Dedicated storage,Coastal Bend Carbon Management Partnership (TX),North America
Coastal Bend Offshore CO2 Storage (TX),United States,"Port of Corpus Christi, 1845 Carbon Storage LLC, Strategic Sequestration Development LLC, University of Texas Bureau of Economic Geology’s Gulf Coast Carbon Center",Storage,2023,,Planned,,,Storage,Dedicated storage,Corpus Christi offshore storage (TX),North America
CO-Creator Pilot Startup program DACCS,Iceland,"COWI, Removr",Capture,2023,,Planned,0.1,0.1,DAC,Dedicated storage,,Europe & Central Asia
Coda terminal Phase 1,Iceland,"Carbfix, Dan-unity CO2",T&S,2021,2026,Planned,0.5,0.5,T&S,Dedicated storage,Coda terminal,Europe & Central Asia
Coda terminal Phase 2,Iceland,"Carbfix, Dan-unity CO2",T&S,2021,2028,Planned,0.5,0.5,T&S,Dedicated storage,Coda terminal,Europe & Central Asia
Coda terminal phase 3,Iceland,"Carbfix, Dan-unity CO2",T&S,2021,2031,Planned,2,2,T&S,Dedicated storage,Coda terminal,Europe & Central Asia
Coffeyville fertiliser Plant (KS),United States,"Coffeyville Resources, Chaparral Energy, Coffeyville Resource Nitrogen Fertilizers",Full chain,2011,2013,Operational,0.8,0.9,Chemicals,EOR,,North America
Colleferro plant,Italy,Heidelberg Materials,Capture,2018,,Planned,,,Cement,Unknown/unspecified,,Europe & Central Asia
Combined Carbon Capture Solution on Air Liquide Northern California Steam Methane Reformer (CA),United States,"Electricore Inc., Air Liquide",Capture,2022,,Planned,,,Hydrogen or ammonia,Unknown/unspecified,,North America
Commonwealth LNG CCS (LA),United States,"Commonwealth LNG, OnStream CO2 LLC (JV between Carbonvert Inc, Castex Carbon Solutions LLC) (own, design, operate capture)",Capture,2023,2027,Planned,,,Natural gas processing/LNG,Dedicated storage,Cameron Parish CO2 Hub (LA),North America
Competitive Power Ventures CCGT (WV),United States,Competitive Power Ventures,Capture,2021,,Planned,,,Power and heat,Unknown/unspecified,,North America
Connah's Quay,United Kingdom,Uniper,Capture,2021,2030,Planned,,,Power and heat,Dedicated storage,Liverpool Bay CO2 storage (Hynet),Europe & Central Asia
Co-op Belle Plaine Ethanol Complex (SK),Canada,"Federated Co-operatives (FCL), Whitecap Resources Inc. (MoU with FCL to capture, transport and store)",Capture,2021,2024,Planned,,,Biofuels,Dedicated storage,Southeast Saskatchewan CCUS Hub (Belle Plaine and Weyburn),North America
Co-op Renewable Diesel Complex (SK),Canada,"Federated Co-operatives (FCL), Fluor and Whitecap Resources Inc.",Capture,2021,2027,Planned,,,Biofuels,Dedicated storage,Southeast Saskatchewan CCUS Hub (Belle Plaine and Weyburn),North America
Core Energy CO2-EOR South Chester plant (MI),United States,Core Energy,Full chain,,2003,Operational,0.35,0.35,Natural gas processing/LNG,EOR,,North America
Cormorant Clean Energy project (TX),United States,"8 Rivers, Casale",Capture,2024,2027,Planned,1.4,1.4,Hydrogen or ammonia,Dedicated storage,,North America
Corn LP Goldfield biorefinery (IA),United States,"Corn LP, Summit Carbon Solutions",Capture,2021,2025,Planned,0.2,0.215,Biofuels,Dedicated storage,Midwest carbon express,North America
Corporation Energy Blue Ammonia/hydrogen Baidaratskaya Bay,Russia,"Corporation Energy, Toyo Engineering Corporation, Itochu Plantech Inc, Others",Full chain,2021,2025,Planned,,,Hydrogen or ammonia,Unknown/unspecified,,Europe & Central Asia
Corporation Energy Blue Ammonia/hydrogen Seyakha,Russia,"Corporation Energy, Toyo Engineering Corporation, Itochu Plantech Inc, Others",Full chain,2021,2026,Planned,,,Hydrogen or ammonia,Unknown/unspecified,,Europe & Central Asia
Corpus Christi carbon storage hub (TX),United States,"Repsol (operator), Carbonvert, MEPUSA (Mitsui E&P USA), POSCO",Storage,2023,,Planned,20,20,Storage,Dedicated storage,Corpus Christi carbon storage hub (TX),North America
Corpus Christi CO2 pipeline (TX),United States,"Enbridge (transport), Oxy low carbon ventures (Occidental) (Storage)",Transport,2022,2028,Planned,,,Transport,Unknown/unspecified,Corpus Christi CO2 pipeline,North America
Corvus (WY),United States,ExxonMobil (formerly Denbury carbon solutions),Storage,2022,2026,Planned,3.5,5,Storage,Unknown/unspecified,Denbury Rock Mountains Hub (WY),North America
CORY EfW plant Belvedere,United Kingdom,Cory,Full chain,2021,2030,Planned,1.4,1.3,Power and heat,Dedicated storage,Viking CCS,Europe & Central Asia
Coyote Clean Power Project (CO),United States,"8Rivers, Southern Ute Indian Reservation",Full chain,2021,2025,Planned,0.865,0.865,Power and heat,Unknown/unspecified,,North America
CPNC coal power Baijiantan Karamay (Xinjiang),China,CNPC,Full chain,2023,2027,Under construction,2,2,Power and heat,EOR,CNPC China Northwest hub (Xinjiang),East Asia & Pacific
Crawford Nickel,Canada,Canada Nickel Company Inc.,CCU,2023,,Planned,1.5,1.5,Other industry,Use,,North America
CRP Haifeng Project (Guangdong),China,China Resources Power,Capture,2013,2030,Planned,1,1,Power and heat,Unknown/unspecified,,East Asia & Pacific
Cstore 1,Australia,"deepC-store (dev and operator), Mitsui (for shipping), Technip Energies (TEN) (pre-FEED for hub facility)",T&S,2021,,Planned,4.5,7.5,T&S,Dedicated storage,Cstore 1,East Asia & Pacific
CTSCo Project,Australia,"Glencore Carbon Transport and Storage Company (CTSCo), China Huaneng (capture tech, MoU)",Full chain,2010,2026,Under construction,0.11,0.11,Power and heat,Dedicated storage,,East Asia & Pacific
Cygnus (WY),United States,ExxonMobil (formerly Denbury carbon solutions),Storage,2022,2027,Planned,3.5,5,Storage,Unknown/unspecified,Denbury Rock Mountains Hub (WY),North America
Cypress Carbon Capture Project (LA),United States,"Taft Carbon Capture, DOE Office of Clean Energy Demonstrations",Capture,2023,,Planned,2.6,2.6,Power and heat,Dedicated storage,,North America
Cypress DAC Hub (LA),United States,"Battelle, Climeworks, Heirloom Carbon, Gulf Coast Sequestration (T&S provider)",Capture,2023,2030,Planned,1,1,DAC,Dedicated storage,Gulf Coast Sequestration Hub (LA),North America
Dakota Ethanol Wentworth biorefinery (SD),United States,"Dakota Ethanol, Summit Carbon Solutions",Capture,2021,2025,Planned,0.24,0.257,Biofuels,Dedicated storage,Midwest carbon express,North America
Dakota H2 Hub (ND),United States,"Bakken Energy, Mitsubishi HI (as Mitsubishi Power Americas), Mandan, Hidatsa, and Arikara Nation",Full chain,2021,2027,Planned,,,Hydrogen or ammonia,Dedicated storage,,North America
Dalstur Energy Coal India coal hydrogen,India,"Dalstur Energy (Kolkata), Coal India (CIL)",Capture,2022,,Planned,,,Hydrogen or ammonia,Unknown/unspecified,,East Asia & Pacific
Damhead Creek CCGT power station,United Kingdom,Oilex,Capture,2022,,Planned,,,Power and heat,Dedicated storage,Medway Hub CCS,Europe & Central Asia
D'Artagnan Dunkirk CO2 Hub Phase 1,France,"ArcelorMittal, Port of Dunkerque, Chaux et Dolomines du boulonnais, Verdalis, Air Liquide",Transport,2021,2027,Planned,3,3,Transport,Dedicated storage,D'Artagnan/Nautilus,Europe & Central Asia
D'Artagnan Dunkirk CO2 Hub Phase 2,France,"ArcelorMittal, Port of Dunkerque, Chaux et Dolomines du boulonnais, Verdalis, Air Liquide",Transport,2021,2031,Planned,1.4,1.4,Transport,Dedicated storage,D'Artagnan/Nautilus,Europe & Central Asia
D'Artagnan Dunkirk CO2 Hub Phase 3,France,"ArcelorMittal, Port of Dunkerque, Chaux et Dolomines du boulonnais, Verdalis, Air Liquide",Transport,2021,2035,Planned,5.6,5.6,Transport,Dedicated storage,D'Artagnan/Nautilus,Europe & Central Asia
Daya Bay CCS Hub (Guangdong),China,"Shell, ExxonMobil, CNOOC, and Guangdong Provincial Development & Reform Commission (JSA)",T&S,2022,,Planned,10,10,T&S,Dedicated storage,Daya Bay CCS Hub,East Asia & Pacific
Delaware Basin project (TX),United States,Milestone carbon (Milestone Envrionmental services),Storage,2023,,Planned,,,Storage,Dedicated storage,Delaware Basin project (TX),North America
Delta Rhyne Corridor ,Netherlands,"Shell, Port of Rotterdam, bp, RWE, thyssenkrupp, LyondellBasell, Heidelberg Materials, Attero and Chemelot",Transport,2021,2027,Planned,22,22,Transport,Dedicated storage,,Europe & Central Asia
Denbury / Mitsubishi Gulf Coast ammonia project (TBD),United States,"Mitsubishi, ExxonMobil (formerly Denbury carbon solutions)",T&S,2021,,Planned,1.8,1.8,T&S,Dedicated storage,,North America
Diamond Vault (LA),United States,"Cleco Power LLC, Battelle, Sargebt abd Kybdy ",Storage,2023,,Planned,3.5,3.5,Storage,Dedicated storage,,North America
Donghae CCS Project (capture sources under evaluation),South Korea, Korea National Oil Corporation and partners,T&S,2022,2025,Planned,1.2,1.2,T&S,Dedicated storage,,East Asia & Pacific
Dorado (TX),United States,ExxonMobil (former Denbury Carbon Solutions),Storage,2022,2026,Planned,7.5,5,Storage,Dedicated storage,Dorado (TX),North America
Dos Bocas refinery,Mexico,Pemex,Capture,,,Planned,,,Other fuel transformation,Unknown/unspecified,,North America
Dow Fort Saskatchewan Path2Zero (ALB),Canada,"Dow Chemical, Linde, Fluor, Wolf Midstream",Capture,2021,2029,Under construction,,,Chemicals,Unknown/unspecified,Alberta Carbon Trunk Line (ACTL),North America
Draco (LA),United States,ExxonMobil (formerly Denbury carbon solutions),Storage,2022,2026,Planned,7.5,5,Storage,Unknown/unspecified,,North America
Drax BECCS Project (Phase 1),United Kingdom,"Drax, Worley (FEED), Mitsubishi HI (tech)",Capture,2019,2027,Planned,4.3,4.3,Power and heat,Dedicated storage,Northern Endurance Partnership,Europe & Central Asia
Drax BECCS Project (Phase 2),United Kingdom,"Drax, Worley (FEED), Mitsubishi HI (tech)",Capture,2019,2030,Planned,3.7,3.7,Power and heat,Dedicated storage,Northern Endurance Partnership,Europe & Central Asia
Drax US BECCS plant 1,United States,Drax,Capture,2023,2030,Planned,3,3,Power and heat,Dedicated storage,,North America
Drax US BECCS plant 2,United States,Drax,Capture,2023,2030,Planned,3,3,Power and heat,Dedicated storage,,North America
Dry Fork Integrated Commercial CCS/Wyoming CarbonSafe (WY),United States,"MTR Carbon Capture, Basin Electric Power Cooperative, Electric Power Research Institute, University of Wyoming, Bismarck",Full chain,2016,2025,Planned,3,3,Power and heat,Dedicated storage,Wyoming CarbonSAFE (WY),North America
Duke Energy Edwardsport Integrated Gasification Combined Cycle plant (IN),United States,"Duke Energy, DOE Office of Clean Energy Demonstrations",Capture,2023,,Planned,3.6,3.6,Power and heat,Dedicated storage,,North America
e-Alto,United Kingdom,"Velocys, Clariant Catalysts, Technip Energies, British Airways",CCU,2022,,Planned,,,Biofuels,Use,,Europe & Central Asia
East Calgary Region Carbon Sequestration Hub (ALB),Canada," Reconciliation Energy Transition Inc. (RETI), Sumitomo",Storage,2022,,Planned,7.5,10,Storage,Dedicated storage,East Calgary Region Carbon Sequestration Hub (ALB),North America
East Kalimantan CCUS hub,Indonesia,"Kaltim Parna Industry, ITB",Storage,2022,2030,Planned,1,1,Storage,Dedicated storage,East Kalimantan CCUS hub,East Asia & Pacific
East Niigata area CCS - Hokuetsu pulp plant,Japan,Hokuetsu,Capture,2023,2030,Planned,,,Other industry,Dedicated storage,East Niigata area CCS,East Asia & Pacific
East Niigata area CCS - Mitsubshi gas chemical,Japan,Mitsubishi Gas Chemical,Capture,2023,2030,Planned,,,Chemicals,Dedicated storage,East Niigata area CCS,East Asia & Pacific
East Niigata area CCS - Tohoku Electric Power,Japan,Tohoku Electric Power,Capture,2023,2030,Planned,,,Power and heat,Dedicated storage,East Niigata area CCS,East Asia & Pacific
East Niigata area CCS (capture sources under evaluation),Japan,"JAPEX, Tohoku Electric Power, Mitsubishi Gas Chemical, Hokuetsu, NRI",T&S,2023,2030,Planned,1.5,1.5,T&S,Dedicated storage,East Niigata area CCS,East Asia & Pacific
Eastern Louisiana Clean Hydrogen Complex (LA) ,United States,Air Products,Full chain,2021,2026,Under construction,5,5,Hydrogen or ammonia,Dedicated storage,,North America
Eastern Wyoming Sequestration Hub (WY),United States,Tallgrass energy,Storage,2022,2024,Planned,1.5,1.5,Storage,Dedicated storage,Eastern Wyoming Sequestration Hub (WY),North America
ECO2CEE (Poland EU CCS Interconnector) phase 1,Poland,"Air Liquide Polska, PKN Orlen, Lafarge Cement, Orlen Lietuva",Transport,2021,2027,Planned,2.75,2.5,Transport,Dedicated storage,ECO2CEE (Gdansk terminal),Europe & Central Asia
ECO2CEE (previously Poland EU CCS Interconnector) phase 2,Poland,"Air Liquide Polska, PKN Orlen, Lafarge Cement, Orlen Lietuva",Transport,2021,2031,Planned,6.5,6.5,Transport,Dedicated storage,ECO2CEE,Europe & Central Asia
ECO2CEE (previously Poland EU CCS Interconnector) phase 3,Poland,"Air Liquide Polska, PKN Orlen, Lafarge Cement, Orlen Lietuva",Transport,2021,2033,Planned,0.3,0.3,Transport,Dedicated storage,ECO2CEE,Europe & Central Asia
ECO2Normandy phase 1,France,"Air Liquide, Borealis, Esso (Exxon Mobil), TotalEnergies, Yara",Transport,2023,2028,Planned,1.2,1.2,Transport,Dedicated storage,ECO2Normandy/Nautilus,Europe & Central Asia
ECO2Normandy phase 2,France,"Air Liquide, Borealis, Esso (Exxon Mobil), TotalEnergies, Yara",Transport,2023,2031,Planned,1.2,1.2,Transport,Dedicated storage,ECO2Normandy/Nautilus,Europe & Central Asia
ECO2Normandy phase 3,France,"Air Liquide, Borealis, Esso (Exxon Mobil), TotalEnergies, Yara",Transport,2023,2036,Planned,1.2,1.2,Transport,Dedicated storage,ECO2Normandy/Nautilus,Europe & Central Asia
ECO2S: Early CO2 Storage Complex in Kemper County (MS),United States,"Southern States Energy Board, Mississipi Power (Southern Company)",T&S,2017,,Planned,3,3,T&S,Dedicated storage,Project ECO2S: Early CO2 Storage Complex in Kemper County (MS),North America
ECOPLANTA (Tarragona),Spain,"ECOPLANTA MOLECULAR RECYCLING
SOLUTIONS S.L",CCU,2021,2027,Planned,0.34,0.34,Power and heat,Use,,Europe & Central Asia
Edmonton Blue Hydrogen plant (ALB),Canada,"Mitsubishi Corporation, Shell Canada",Capture,2021,,Planned,,,Hydrogen or ammonia,Dedicated storage,Atlas Carbon Sequestration Hub (ALB),North America
Edmonton Varme facility (ALB),Canada,"Varme Energy, City of Edmonton",Capture,2024,2027,Planned,,,Power and heat,Unknown/unspecified,,North America
El Camino (LA),United States,"Shell US Power and Gas LLC, Geo Stock Sandia LLC ",Storage,2022,,Planned,1.5,1.5,Storage,Unknown/unspecified,,North America
Elmworth Gas Plant,Canada,Cenovus,Capture,2023,,Planned,,,Other fuel transformation,Unknown/unspecified,,North America
Emerge CCS,United Kingdom,"Uniper, Fortum",Capture,2021,,Planned,,,Power and heat,Dedicated storage,Liverpool Bay CO2 storage (Hynet),Europe & Central Asia
Emirates Steel Industries (Abu Dhabi CCS Phase 1),United Arab Emirates,"ADNOC, Masdar",Full chain,2007,2016,Operational,0.8,0.8,Iron and steel,EOR,,Middle East & North Africa
EM-Rhone,France,"Elyse Energy, Holcim, Air Liquide",CCU,2023,2028,Planned,0.195,0.195,Cement,Use,,Europe & Central Asia
Enbridge Ingleside Energy Center Low carbon ammonia (TX),United States,"Enbridge, Yara",Capture,2022,2028,Planned,,,Hydrogen or ammonia,Dedicated storage,Corpus Christi CO2 pipeline (TX)/BlueBonnet sequestration hub (TX),North America
ENEOS MOL JX CO2 shipping,Japan,"ENEOS Corporation, JX Nippon Oil & Gas Exploration Corporation, Electric Power Development Co.,Ltd. (J-POWER)",T&S,2023,2030,Planned,,,T&S,Dedicated storage,Northern to Western Kyushu Offshore CCS,East Asia & Pacific
Energean CO2 storage and hydrogen plant,Greece,Energean Plc,Capture,2021,2025,Planned,2.5,2.5,Hydrogen or ammonia,Dedicated storage,Prinos CO2 storage,Europe & Central Asia
Energy Recovery Facility Edmonton EcoPark,United Kingdom,North London Waste Authority (NLWA),Capture,2020,,Planned,,,Power and heat,Dedicated storage,Bacton Thames Net Zero Initiative,Europe & Central Asia
Enhance Clive Sequestration Facility (ACTL) (ALB),Canada,Enhance Energy,Storage,2011,2020,Operational,1.3,1.1,Storage,EOR,Alberta Carbon Trunk Line (ACTL)/Enhance Clive Sequestration Facility (ALB),North America
ENI Ravenna power plant,Italy,Eni,Capture,2020,2027,Planned,0.8,0.8,Power and heat,Dedicated storage,Ravenna CCS,Europe & Central Asia
